source,target
app.engine.regime_classifier,infra.strategy_map
app.engine.risk_sizing,app.engine.strategy_logic
app.engine.strategy_logic,config
app.engine.strategy_logic,domain.market_structure
app.engine.strategy_logic,domain.patterns
app.engine.strategy_logic,infra.formatting
app.engine.strategy_logic,infra.strategy_map
app.engine.strategy_logic.bak,config
app.engine.strategy_logic.bak,domain.market_structure
app.engine.strategy_logic.bak,domain.patterns
app.engine.strategy_logic.bak,infra.formatting
app.engine.strategy_logic.bak,infra.strategy_map
app.main_api,app.engine.regime_classifier
app.main_api,app.services.oco_tracker
app.main_api,config
app.main_api,domain.patterns
app.main_api,infra.confluence_calculator
app.main_api,infra.indicator_bridge
app.main_api,infra.intelligent_exit_logger
app.main_api,infra.intelligent_exit_manager
app.main_api,infra.journal_repo
app.main_api,infra.market_indices_service
app.main_api,infra.mt5_service
app.main_api,infra.multi_timeframe_analyzer
app.main_api,infra.news_service
app.main_api,infra.openai_service
app.main_api,infra.price_alerts
app.main_api,infra.recommendation_tracker
app.main_api,infra.session_analyzer
app.services.oco_tracker,infra.journal_repo
app.services.pending_emulator,infra.mt5_service
chatgpt_bot,config
chatgpt_bot,handlers.chatgpt_bridge
chatgpt_bot,infra.analytics_logger
chatgpt_bot,infra.chatgpt_logger
chatgpt_bot,infra.dashboard_queries
chatgpt_bot,infra.exit_monitor
chatgpt_bot,infra.feature_builder
chatgpt_bot,infra.indicator_bridge
chatgpt_bot,infra.intelligent_exit_manager
chatgpt_bot,infra.journal_repo
chatgpt_bot,infra.loss_cutter
chatgpt_bot,infra.mt5_service
chatgpt_bot,infra.news_service
chatgpt_bot,infra.professional_filters
chatgpt_bot,infra.recommendation_tracker
chatgpt_bot,infra.session_analyzer
chatgpt_bot,infra.trade_monitor
chatgpt_bot,infra.trade_setup_watcher
chatgpt_bridge,infra.analytics_logger
chatgpt_bridge,infra.chatgpt_logger
decision_engine,config
decision_engine,domain.breakout_quality
decision_engine,domain.candle_stats
decision_engine,domain.candles
decision_engine,domain.confluence
decision_engine,domain.levels
decision_engine,domain.liquidity
decision_engine,domain.market_structure
decision_engine,domain.patterns
decision_engine,domain.zones
decision_engine,infra.oco_brackets
decision_engine,infra.price_utils
diagnose_dxy_symbols,config
domain.zones,config
handlers.charts,config
handlers.charts,infra.chart_arranger
handlers.charts,trade_manager
handlers.chatgpt_bridge,infra.alpha_vantage_service
handlers.chatgpt_bridge,infra.analytics_logger
handlers.chatgpt_bridge,infra.chatgpt_logger
handlers.chatgpt_bridge,infra.market_indices_service
handlers.chatgpt_bridge,infra.news_service
handlers.chatgpt_bridge,infra.recommendation_tracker
handlers.circuit,infra.circuit_breaker
handlers.feature_builder,config
handlers.feature_builder,infra.feature_builder
handlers.feature_builder,infra.indicator_bridge
handlers.feature_builder,infra.mt5_service
handlers.menu,handlers.charts
handlers.menu,handlers.help
handlers.menu,handlers.pending
handlers.menu,handlers.status
handlers.menu,handlers.trading
handlers.pending,config
handlers.pending,domain.breakout_quality
handlers.pending,domain.liquidity
handlers.pending,domain.market_structure
handlers.pending,domain.zones
handlers.pending,handlers.menu
handlers.pending,handlers.trading
handlers.pending,infra.bandit_autoupdate
handlers.pending,infra.formatting
handlers.pending,infra.indicator_bridge
handlers.pending,infra.journal_repo
handlers.pending,infra.mt5_service
handlers.pending,infra.news_service
handlers.pending,infra.openai_service
handlers.pending,infra.strategy_map
handlers.pending,infra.virt_pendings
handlers.pending.bak,config
handlers.pending.bak,domain.breakout_quality
handlers.pending.bak,domain.liquidity
