import time: self [us] | cumulative | imported package
import time:        75 |         75 | winreg
import time:       145 |        145 |   _io
import time:        22 |         22 |   marshal
import time:        92 |         92 |   nt
import time:       370 |        627 | _frozen_importlib_external
import time:       518 |        518 |   time
import time:        81 |        599 | zipimport
import time:        46 |         46 | faulthandler
import time:        85 |         85 |     _codecs
import time:       154 |        238 |   codecs
import time:       821 |        821 |   encodings.aliases
import time:      1135 |       2193 | encodings
import time:       353 |        353 | encodings.utf_8
import time:       350 |        350 | encodings.cp1252
import time:        32 |         32 | _signal
import time:        22 |         22 |     _abc
import time:        76 |         97 |   abc
import time:       103 |        200 | io
import time:        41 |         41 |       _stat
import time:        65 |        105 |     stat
import time:       471 |        471 |     _collections_abc
import time:        24 |         24 |       genericpath
import time:        45 |         45 |       _winapi
import time:       324 |        393 |     ntpath
import time:       196 |       1163 |   os
import time:        42 |         42 |   _sitebuiltins
import time:      1414 |       1414 |   _distutils_hack
import time:       640 |        640 |     pywin32_system32
import time:       932 |       1572 |   pywin32_bootstrap
import time:       286 |        286 |   sitecustomize
import time:      2210 |       6685 | site
import time:       623 |        623 | __future__
import time:        87 |         87 |       itertools
import time:       365 |        365 |       keyword
import time:        51 |         51 |         _operator
import time:       487 |        538 |       operator
import time:       392 |        392 |       reprlib
import time:        45 |         45 |       _collections
import time:       782 |       2206 |     collections
import time:       458 |        458 |     collections.abc
import time:       367 |        367 |       concurrent
import time:       850 |        850 |               types
import time:        53 |         53 |                 _functools
import time:       657 |        709 |               functools
import time:      1133 |       2692 |             enum
import time:        55 |         55 |               _sre
import time:       388 |        388 |                 re._constants
import time:       485 |        873 |               re._parser
import time:       293 |        293 |               re._casefix
import time:       596 |       1816 |             re._compiler
import time:       416 |        416 |             copyreg
import time:       670 |       5592 |           re
import time:       387 |        387 |                 token
import time:       866 |       1252 |               tokenize
import time:       374 |       1626 |             linecache
import time:       960 |        960 |             textwrap
import time:       637 |        637 |             contextlib
import time:       623 |       3846 |           traceback
import time:       518 |        518 |           warnings
import time:       417 |        417 |             _weakrefset
import time:       597 |       1013 |           weakref
import time:        31 |         31 |             _string
import time:       637 |        668 |           string
import time:       695 |        695 |           threading
import time:        35 |         35 |           atexit
